Open Time,Open,High,Low,Close,Volume,Close time,QAV,No. of trades,Taker buy base,Taker buy quote,Ignore,,,
1.66E+12,22622.41,22682.65,22586.95,22632,4571.73014,1.66E+12,103517339.2,172453,2334.22865,52854893.78,0,1659657600,12:00:00 am,"Friday, 5 August 2022"
1.66E+12,22632,22920.61,22627.24,22893.44,7250.9132,1.66E+12,165124138.1,218946,3827.23522,87154426.3,0,1659661200,1:00:00 am,"Friday, 5 August 2022"
1.66E+12,22893.44,23115.38,22858.59,23044.91,9837.1328,1.66E+12,226109093.1,287071,4884.49354,112280110.8,0,1659664800,2:00:00 am,"Friday, 5 August 2022"
1.66E+12,23044.91,23200,23040,23175.32,7415.99555,1.66E+12,171466314.7,219786,3948.58595,91290286.4,0,1659668400,3:00:00 am,"Friday, 5 August 2022"
1.66E+12,23173.9,23247.84,23093.94,23152.02,5732.52901,1.66E+12,132818451.7,201919,2902.14968,67246661.53,0,1659672000,4:00:00 am,"Friday, 5 August 2022"
1.66E+12,23152.02,23228.59,23065.82,23189.78,5425.93988,1.66E+12,125450896.1,198962,2741.88751,63400789.76,0,1659675600,5:00:00 am,"Friday, 5 August 2022"
1.66E+12,23189.77,23432.51,23188.9,23282.02,7956.52743,1.66E+12,185346803.8,255956,4219.60108,98308956.27,0,1659679200,6:00:00 am,"Friday, 5 August 2022"
1.66E+12,23282.02,23299.27,23157.49,23186.08,4984.31193,1.66E+12,115656756,169772,2427.58444,56332550.68,0,1659682800,7:00:00 am,"Friday, 5 August 2022"
1.66E+12,23185.08,23254.92,23095.17,23151.46,5536.67841,1.66E+12,128227269.4,187201,2810.10398,65086757.96,0,1659686400,8:00:00 am,"Friday, 5 August 2022"
1.66E+12,23151.46,23189.66,23120.48,23132.21,4048.88956,1.66E+12,93733472.11,147528,2024.50947,46870358.89,0,1659690000,9:00:00 am,"Friday, 5 August 2022"
1.66E+12,23132.21,23253.39,23105.47,23196.04,5203.8064,1.66E+12,120624557.8,174116,2670.36202,61901829.98,0,1659693600,10:00:00 am,"Friday, 5 August 2022"
1.66E+12,23195.46,23441.1,23151.04,23405.13,10607.82125,1.66E+12,247191011.9,299777,5423.59104,126395673.7,0,1659697200,11:00:00 am,"Friday, 5 August 2022"
1.66E+12,23403.67,23472.86,22921.25,23018.93,17134.38188,1.66E+12,397336620.4,427849,8060.35513,186960880,0,1659700800,12:00:00 pm,"Friday, 5 August 2022"
1.66E+12,23018.93,23101,22879.42,23054.81,10640.45176,1.66E+12,244844303.6,306532,5320.6771,122442794.8,0,1659704400,1:00:00 pm,"Friday, 5 August 2022"
1.66E+12,23053.25,23360,23022.5,23177.08,12296.49544,1.66E+12,285634942.7,336307,6139.81007,142620983.5,0,1659708000,2:00:00 pm,"Friday, 5 August 2022"
1.66E+12,23177.08,23204.64,22957.98,22988.25,8809.01549,1.66E+12,203148109.2,261566,4181.39752,96433639.9,0,1659711600,3:00:00 pm,"Friday, 5 August 2022"
1.66E+12,22988.26,23076.69,22900,23034.35,7440.73005,1.66E+12,171097217.5,219072,3657.43104,84106739.51,0,1659715200,4:00:00 pm,"Friday, 5 August 2022"
1.66E+12,23034.35,23104,22800,22828.26,8366.91113,1.66E+12,192162760.2,222665,4137.98914,95057332.49,0,1659718800,5:00:00 pm,"Friday, 5 August 2022"
1.66E+12,22828.26,22892.73,22754.13,22806.02,5493.94588,1.66E+12,125447133.5,172401,2765.56548,63157923.8,0,1659722400,6:00:00 pm,"Friday, 5 August 2022"
1.66E+12,22806.02,22957.51,22775.23,22932.83,5700.82654,1.66E+12,130439013.6,180851,2975.04714,68074130.51,0,1659726000,7:00:00 pm,"Friday, 5 August 2022"
1.66E+12,22931.23,23004.34,22839.27,22983.39,4370.87889,1.66E+12,100223978.5,144500,2250.56057,51609551.69,0,1659729600,8:00:00 pm,"Friday, 5 August 2022"
1.66E+12,22981.3,23223.53,22980,23106.58,5539.43793,1.66E+12,128044370,171730,2910.33801,67274468.76,0,1659733200,9:00:00 pm,"Friday, 5 August 2022"
1.66E+12,23106.58,23281.98,23106.58,23243.41,5280.89043,1.66E+12,122487626.6,175132,2735.94697,63465499.09,0,1659736800,10:00:00 pm,"Friday, 5 August 2022"
1.66E+12,23244.67,23329,23154.7,23312.42,5605.45651,1.66E+12,130303771.5,188477,2891.10403,67212710.56,0,1659740400,11:00:00 pm,"Friday, 5 August 2022"
1.66E+12,23313.56,23354.36,23201.27,23264.97,5770.02445,1.66E+12,134304887.2,215964,2929.50409,68193424,0,1659744000,12:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23264.97,23297,23187.62,23224.39,3460.10992,1.66E+12,80424486.01,142118,1670.15242,38821700.35,0,1659747600,1:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23223.24,23288.52,23190.93,23266.26,3375.21779,1.66E+12,78400165.96,133428,1681.53546,39061503.67,0,1659751200,2:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23266.22,23283.72,23152.42,23173.65,3982.38759,1.66E+12,92394965.26,154479,1896.1247,43993518.27,0,1659754800,3:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23173.65,23227.71,23160.27,23208.23,2400.00516,1.66E+12,55666971.35,115282,1185.93403,27507792.67,0,1659758400,4:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23209.9,23236.93,23141.22,23195.99,3624.09863,1.66E+12,84012821.73,150064,1774.90591,41148148.21,0,1659762000,5:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23194.7,23211.2,23140.02,23187.74,2823.60726,1.66E+12,65449650.62,127018,1407.89303,32636177.68,0,1659765600,6:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23187.19,23236.55,23166.29,23205.87,3094.62555,1.66E+12,71782843.88,135538,1558.10755,36143840.6,0,1659769200,7:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23204.77,23258.61,23100,23151.86,4579.00249,1.66E+12,106175360.6,180357,2283.54591,52953584.52,0,1659772800,8:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23153.33,23196.64,23135.9,23170.28,2654.11133,1.66E+12,61481971.01,129116,1325.31845,30702451.32,0,1659776400,9:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23170.28,23213,23167.37,23179.51,2416.90754,1.66E+12,56048102.66,120096,1203.01479,27898888.83,0,1659780000,10:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23179.5,23201.69,23150.95,23157.42,2991.33811,1.66E+12,69325386.05,126800,1442.37961,33429065.77,0,1659783600,11:00:00 am,"Saturday, 6 August 2022"
1.66E+12,23157.42,23204.67,23153.59,23172.47,2602.40182,1.66E+12,60318606.99,129655,1294.51915,30005903.56,0,1659787200,12:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,23172.47,23236.49,23166.01,23188.74,3011.8756,1.66E+12,69886035.37,132657,1560.05851,36200536.44,0,1659790800,1:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,23189.9,23234.58,23172.2,23220.36,2701.20803,1.66E+12,62678222.99,123375,1391.47492,32289185.24,0,1659794400,2:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,23220.36,23232.22,23172.16,23202.21,2590.71218,1.66E+12,60113269.84,114520,1228.82294,28513911.46,0,1659798000,3:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,23201.18,23226.66,23143.04,23156.72,3189.54167,1.66E+12,74000621.63,126250,1562.01132,36243292.11,0,1659801600,4:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,23156.72,23256.37,22982.49,23128.83,7525.45014,1.66E+12,174079759,252798,3729.67523,86285044.93,0,1659805200,5:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,23130.69,23211.27,23083.69,23181.57,3634.37716,1.66E+12,84134779.86,140619,1846.76334,42755145.92,0,1659808800,6:00:00 pm,"Saturday, 6 August 2022"
1.66E+12,23180.23,23205,23145.12,23185.12,2754.5633,1.66E+12,63857640.41,106720,1382.68972,32056010.98,0,1659812400,7:00:00 pm,"Saturday, 6 August 2022"
